epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1551.51,0.61865,0.42159,0.97566,0.88445,0.75264,0.79912,0.59453,0.87741,0.6127,1.02518,0.000726312,0.000726312,0.000726312
116,1564.96,0.6388,0.43609,1.02691,0.8815,0.76269,0.80561,0.60405,0.86341,0.60969,1.01743,0.00071806,0.00071806,0.00071806
117,1578.4,0.61409,0.42841,0.98116,0.89168,0.75219,0.8008,0.60687,0.86629,0.61229,1.01496,0.000709809,0.000709809,0.000709809
118,1591.79,0.61547,0.43112,0.96757,0.86882,0.76309,0.80513,0.60663,0.86862,0.61525,1.02136,0.000701557,0.000701557,0.000701557
119,1605.28,0.6448,0.42486,0.9792,0.86626,0.7677,0.80561,0.60902,0.85766,0.60729,1.00956,0.000693305,0.000693305,0.000693305
120,1618.67,0.62304,0.41752,0.97513,0.87412,0.75264,0.79284,0.59902,0.87406,0.62437,1.01329,0.000685054,0.000685054,0.000685054
121,1631.97,0.61681,0.42023,0.9709,0.8963,0.75244,0.8006,0.6009,0.86578,0.59475,1.01418,0.000676802,0.000676802,0.000676802
122,1645.28,0.60812,0.41317,0.96703,0.87154,0.75596,0.79173,0.60383,0.86782,0.60414,1.01971,0.00066855,0.00066855,0.00066855
123,1658.62,0.58244,0.40758,0.95621,0.85611,0.76567,0.79668,0.60644,0.84037,0.58535,0.99614,0.000660299,0.000660299,0.000660299
124,1671.91,0.60467,0.41274,0.96409,0.86714,0.75672,0.8008,0.60359,0.88152,0.61115,1.01826,0.000652047,0.000652047,0.000652047
125,1685.25,0.60386,0.41268,0.96702,0.84325,0.77604,0.80556,0.61073,0.864,0.58916,1.00328,0.000643795,0.000643795,0.000643795
126,1698.54,0.61896,0.42626,0.96599,0.91394,0.76793,0.81666,0.6154,0.86475,0.59517,1.01277,0.000635544,0.000635544,0.000635544
127,1711.82,0.58502,0.40177,0.96188,0.86872,0.78978,0.81933,0.61343,0.86198,0.59555,1.00467,0.000627292,0.000627292,0.000627292
128,1725.13,0.64558,0.4275,0.99634,0.88443,0.75329,0.81128,0.60921,0.87363,0.59867,1.02632,0.00061904,0.00061904,0.00061904
129,1738.49,0.64353,0.44708,0.99289,0.8822,0.76567,0.80913,0.61011,0.87147,0.58539,1.02479,0.000610789,0.000610789,0.000610789
